id,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!In households:,Margin of Error!!Total:!!In households:,Estimate!!Total:!!In households:!!Householder:,Margin of Error!!Total:!!In households:!!Householder:,Estimate!!Total:!!In households:!!Householder:!!Male:,Margin of Error!!Total:!!In households:!!Householder:!!Male:,Estimate!!Total:!!In households:!!Householder:!!Male:!!Living alone,Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Living alone,Estimate!!Total:!!In households:!!Householder:!!Male:!!Not living alone,Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Not living alone,Estimate!!Total:!!In households:!!Householder:!!Female:,Margin of Error!!Total:!!In households:!!Householder:!!Female:,Estimate!!Total:!!In households:!!Householder:!!Female:!!Living alone,Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Living alone,Estimate!!Total:!!In households:!!Householder:!!Female:!!Not living alone,Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Not living alone,Estimate!!Total:!!In households:!!Opposite-sex spouse,Margin of Error!!Total:!!In households:!!Opposite-sex spouse,Estimate!!Total:!!In households:!!Same-sex spouse,Margin of Error!!Total:!!In households:!!Same-sex spouse,Estimate!!Total:!!In households:!!Opposite-sex unmarried partner,Margin of Error!!Total:!!In households:!!Opposite-sex unmarried partner,Estimate!!Total:!!In households:!!Same-sex unmarried partner,Margin of Error!!Total:!!In households:!!Same-sex unmarried partner,Estimate!!Total:!!In households:!!Child:,Margin of Error!!Total:!!In households:!!Child:,Estimate!!Total:!!In households:!!Child:!!Biological child,Margin of Error!!Total:!!In households:!!Child:!!Biological child,Estimate!!Total:!!In households:!!Child:!!Adopted child,Margin of Error!!Total:!!In households:!!Child:!!Adopted child,Estimate!!Total:!!In households:!!Child:!!Stepchild,Margin of Error!!Total:!!In households:!!Child:!!Stepchild,Estimate!!Total:!!In households:!!Grandchild,Margin of Error!!Total:!!In households:!!Grandchild,Estimate!!Total:!!In households:!!Brother or sister,Margin of Error!!Total:!!In households:!!Brother or sister,Estimate!!Total:!!In households:!!Parent,Margin of Error!!Total:!!In households:!!Parent,Estimate!!Total:!!In households:!!Parent-in-law,Margin of Error!!Total:!!In households:!!Parent-in-law,Estimate!!Total:!!In households:!!Son-in-law or daughter-in-law,Margin of Error!!Total:!!In households:!!Son-in-law or daughter-in-law,Estimate!!Total:!!In households:!!Other relatives,Margin of Error!!Total:!!In households:!!Other relatives,Estimate!!Total:!!In households:!!Foster child,Margin of Error!!Total:!!In households:!!Foster child,Estimate!!Total:!!In households:!!Other nonrelatives,Margin of Error!!Total:!!In households:!!Other nonrelatives,Estimate!!Total:!!In group quarters,Margin of Error!!Total:!!In group quarters
0400000US01,Alabama,4903185,*****,4786560,*****,1897576,10370,934543,13485,251848,8808,682695,13880,963033,12182,314320,8362,648713,11202,883410,12920,6091,1348,87625,5058,4248,1314,1388962,14564,1280202,17252,36375,4215,72385,6172,174347,11547,61502,6645,52109,4698,12490,2218,16388,2507,71266,6594,3856,1201,126690,9903,116625,*****
0400000US02,Alaska,731545,*****,704872,*****,252199,3658,132888,4164,37276,2424,95612,4175,119311,3743,31833,2540,87478,3780,123506,3865,866,385,16715,2107,752,717,221605,5186,202566,5000,8732,1485,10307,1799,19638,3420,7996,1459,6609,1573,2207,807,4340,1082,9525,2781,1382,708,37532,4811,26673,*****
0400000US04,Arizona,7278717,*****,7116824,*****,2670441,12014,1366967,12681,333832,8618,1033135,13531,1303474,13187,394831,7665,908643,13157,1255183,15237,15268,2239,189700,8259,10417,1698,2066614,19184,1912211,20537,63239,7371,91164,6300,215051,11593,108022,7494,108597,8088,30377,3420,38742,3654,114165,9173,7835,2135,286412,14785,161893,*****
0400000US05,Arkansas,3017804,*****,2933793,*****,1163647,8530,568491,8465,152722,5926,415769,8716,595156,8587,190379,6711,404777,8682,549488,10037,3791,938,60973,4590,3792,1027,840300,11028,769160,11697,24403,3360,46737,4453,94705,7433,31298,3828,30293,3588,10009,2670,12955,1897,33354,4402,2819,1030,96369,7777,84011,*****
0400000US06,California,39512223,*****,38685702,*****,13157873,23844,6827536,31070,1413298,19040,5414238,32094,6330337,24400,1755704,21026,4574633,25648,6399899,27984,85323,3811,858212,15094,51066,3916,12143395,41157,11540774,44271,207090,10144,395531,12519,1073985,28593,731443,15844,877468,16047,213691,9654,304126,9831,855556,23519,36352,4479,1897313,30426,826521,*****
0400000US08,Colorado,5758736,*****,5639595,*****,2235103,10026,1163320,12324,293119,9292,870201,13715,1071783,10633,312529,10457,759254,12496,1101914,14582,13084,1688,144204,6504,9977,1698,1534857,14778,1421423,15907,40546,4740,72888,4568,109218,7820,58440,5324,58995,5401,15092,2249,24590,3296,64442,5691,3358,1294,266321,12389,119141,*****
0400000US09,Connecticut,3565287,*****,3454420,*****,1377166,6712,674768,8252,177871,5808,496897,8630,702398,8399,221533,6589,480865,9754,642743,8923,6290,1236,86208,5441,3963,995,1022971,11817,971246,12376,19933,3088,31792,4449,59859,5859,41036,4911,45046,4873,11353,1648,12573,2209,38356,5491,3702,1596,103154,6468,110867,*****
0400000US10,Delaware,973764,*****,948869,*****,376239,3536,185816,5059,44813,3126,141003,4938,190423,4469,63533,3252,126890,5066,174901,4884,3338,888,24471,2736,1479,691,267680,6539,251048,6915,5094,1394,11538,2405,23227,3735,10121,2493,12036,2409,3452,1168,4839,1462,13099,3241,1452,1150,32535,4818,24895,*****
0400000US11,District of Columbia,705749,*****,666891,*****,291570,3959,129862,4639,56499,3611,73363,4632,161708,3997,73986,3826,87722,4503,73419,4040,4285,921,17888,2225,2821,937,161200,6437,153877,6714,4598,1670,2725,1418,26667,5182,7528,1747,6843,1415,1138,745,1900,921,13933,3724,102,180,57597,5901,38858,*****
0400000US12,Florida,21477737,*****,21047762,*****,7905832,23042,3973330,23120,984280,19016,2989050,25287,3932502,24607,1279815,18287,2652687,27403,3622076,27232,46121,3805,521805,13786,34354,3629,5935428,38785,5522038,37030,142595,10331,270795,12423,566080,22772,340831,15897,471667,16874,120647,7478,139691,9341,401419,18986,14902,3279,926909,30876,429975,*****
